id;receipt_date;warehouse_receipt_code;warehouse_receive_note;pieces_received_count;pieces_loaded_count;total_weight;total_cubic_meter;extra_fee;inland_fee;extra_fee_detail;waybill;note
1;2024-12-13;boo crafty from;because nauseate lest;14790;23902;29798.85;16027.5;13443.85;3994.94;ah meanwhile past;canter powerfully;mantua follower knottily
2;2024-12-13;tune creaking finger;deduct psst;967;1671;14312.15;22470.5;15720.37;18000.89;perky woefully;uh-huh kiddingly mad;bah
3;2024-12-13;manner afraid ouch;seriously lest;28201;4914;12427.54;14041.84;28432.72;407.12;onto defiantly;close;clone
4;2024-12-13;yet refute;when stuff;24147;28245;32166.75;11405.32;11416.86;1448.64;poppy freely;as plain though;unfortunately beyond surprisingly
5;2024-12-12;elevator hmph meh;inside inasmuch afore;12414;19054;24025.5;10833.57;19161.26;29038.88;abaft hmph;trash manage;worth helpfully
6;2024-12-13;abandoned roundabout;qua ultimately;26931;4823;21879.92;28158.31;25715.27;4379.43;deduce weakly intermesh;around why prioritize;against down
7;2024-12-13;convoke astride;aw capitalize chubby;13603;17347;10952.85;6341.97;19397.51;16176.45;but but;masculinize inside broadly;coolly wavy blah
8;2024-12-12;hype;usefully;29853;17745;26138.21;17644.06;2080.56;22683.21;economise ugh;amidst;libel diversity
9;2024-12-12;optimal;fisherman factorise;8783;16950;20412.01;21351.42;22599.09;19074.41;until ingratiate;really;apricot
10;2024-12-12;fragrant lively trust;huzzah;22760;2995;26640.04;12616.52;1517.33;6426.01;complete gah;lean;massage considering illiterate
